date,open,high,low,close,volume,ticker,price,eps,pe_ratio,net_income,total_assets,shareholders_equity,total_debt,roe,roa,debt_to_equity,market_cap,shares_outstanding,is_eps_missing,is_eps_stale,is_pe_ratio_missing,is_pe_ratio_stale,is_net_income_missing,is_net_income_stale,is_total_assets_missing,is_total_assets_stale,is_shareholders_equity_missing,is_shareholders_equity_stale,is_total_debt_missing,is_total_debt_stale,is_roe_missing,is_roe_stale,is_roa_missing,is_roa_stale,is_debt_to_equity_missing,is_debt_to_equity_stale,is_market_cap_missing,is_market_cap_stale,is_shares_outstanding_missing,is_shares_outstanding_stale
2024-02-07,,191.05,188.61,189.41,53438955.0,AAPL,189.41,2.19,86.48858447488584,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-08,,189.535,187.35,188.32,40962046.0,AAPL,188.32,2.19,85.99086757990868,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-09,,189.99,188.0,188.85,45155216.0,AAPL,188.85,2.19,86.23287671232876,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-12,,188.67,186.79,187.15,41781934.0,AAPL,187.15,2.19,85.45662100456622,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-13,,186.21,183.5128,185.04,56529529.0,AAPL,185.04,2.19,84.4931506849315,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-14,,185.53,182.44,184.15,54617917.0,AAPL,184.15,2.19,84.08675799086758,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-15,,184.49,181.35,183.86,65434496.0,AAPL,183.86,2.19,83.95433789954339,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-16,,184.85,181.665,182.31,49752465.0,AAPL,182.31,2.19,83.24657534246576,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-20,,182.43,180.0,181.56,53574453.0,AAPL,181.56,2.19,82.9041095890411,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-21,,182.8888,180.66,182.32,41496371.0,AAPL,182.32,2.19,83.25114155251141,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-22,,184.955,182.46,184.37,52284192.0,AAPL,184.37,2.19,84.18721461187215,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-23,,185.04,182.23,182.52,44926677.0,AAPL,182.52,2.19,83.34246575342466,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-26,,182.76,180.65,181.16,40867421.0,AAPL,181.16,2.19,82.72146118721462,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27,,183.9225,179.56,182.63,54318851.0,AAPL,182.63,2.19,83.39269406392694,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-28,,183.12,180.13,181.42,48943139.0,AAPL,181.42,2.19,82.84018264840182,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-29,,182.57,179.53,180.75,136682597.0,AAPL,180.75,2.19,82.53424657534246,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01,,180.53,177.38,179.66,73450582.0,AAPL,179.66,2.19,82.03652968036529,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-04,,176.9,173.79,175.1,81505451.0,AAPL,175.1,2.19,79.95433789954338,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-05,,172.04,169.62,170.12,94702355.0,AAPL,170.12,2.19,77.68036529680366,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-06,,171.24,168.68,169.12,68568907.0,AAPL,169.12,2.19,77.22374429223744,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-07,,170.73,168.49,169.0,71763761.0,AAPL,169.0,2.19,77.1689497716895,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-08,,173.7,168.94,170.73,76267041.0,AAPL,170.73,2.19,77.95890410958904,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-11,,174.38,172.05,172.75,60139473.0,AAPL,172.75,2.19,78.8812785388128,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-12,,174.03,171.01,173.23,59813522.0,AAPL,173.23,2.19,79.10045662100457,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-13,,173.185,170.76,171.13,52488692.0,AAPL,171.13,2.19,78.14155251141553,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-14,,174.3078,172.05,173.0,72913507.0,AAPL,173.0,2.19,78.99543378995433,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-15,,172.62,170.285,172.62,121752699.0,AAPL,172.62,2.19,78.82191780821918,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-18,,177.71,173.52,173.72,75604184.0,AAPL,173.72,2.19,79.32420091324201,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-19,,176.605,173.03,176.08,55215244.0,AAPL,176.08,2.19,80.40182648401827,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-20,,178.67,175.09,178.67,53423102.0,AAPL,178.67,2.19,81.58447488584474,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-21,,177.49,170.84,171.37,106181270.0,AAPL,171.37,2.19,78.25114155251141,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
